start,end,speaker_id,duration
0.031,1.1949999999999998,SPEAKER_00,1.164
2.748,5.836,SPEAKER_01,3.088
7.27,8.721,SPEAKER_00,1.4510000000000005
9.143,11.691,SPEAKER_01,2.548
10.308,15.556000000000001,SPEAKER_00,5.248000000000001
16.012,26.541,SPEAKER_01,10.529
27.537,30.253999999999998,SPEAKER_00,2.7169999999999987
30.372,34.591,SPEAKER_01,4.219000000000001
34.591,34.777,SPEAKER_00,0.18599999999999994
34.642,36.195,SPEAKER_01,1.5529999999999973
38.371,44.649,SPEAKER_00,6.277999999999999
45.053,49.323,SPEAKER_01,4.270000000000003
49.745,52.934,SPEAKER_00,3.189
55.077,64.763,SPEAKER_01,9.686000000000007
66.856,73.656,SPEAKER_00,6.800000000000011
74.045,74.821,SPEAKER_01,0.7759999999999962
